celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_total_score,week1_judge_count,week1_percent_score,week1_judge_rank,week2_total_score,week2_judge_count,week2_percent_score,week2_judge_rank,week3_total_score,week3_judge_count,week3_percent_score,week3_judge_rank,week4_total_score,week4_judge_count,week4_percent_score,week4_judge_rank,week5_total_score,week5_judge_count,week5_percent_score,week5_judge_rank,week6_total_score,week6_judge_count,week6_percent_score,week6_judge_rank,week7_total_score,week7_judge_count,week7_percent_score,week7_judge_rank,week8_total_score,week8_judge_count,week8_percent_score,week8_judge_rank,week9_total_score,week9_judge_count,week9_percent_score,week9_judge_rank,week10_total_score,week10_judge_count,week10_percent_score,week10_judge_rank,week11_total_score,week11_judge_count,week11_percent_score,week11_judge_rank,score_std_dev,avg_judge_rank,partner_avg_placement,industry_prevalence,total_fan_saves_bottom1,total_fan_saves_bottom2,total_fan_saves_bottom3,avg_judge_score
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,22.0,3,0.7333333333333333,4.0,29.0,3,0.9666666666666668,1.0,27.0,3,0.9,1.0,26.0,3,0.8666666666666667,2.0,30.0,3,1.0,1.0,30.0,3,1.0,1.0,27.5,3,0.9166666666666666,1.0,28.6665,3,0.95555,2.0,,0,,,,0,,,,0,,,2.641894800780844,1.625,0.6298229548229548,95,0,0,0,9.173604166666665
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,21.0,3,0.7,5.0,23.0,3,0.7666666666666667,4.0,19.0,3,0.6333333333333333,7.0,24.0,3,0.8,5.0,23.0,3,0.7666666666666667,5.0,23.0,3,0.7666666666666667,4.0,20.5,3,0.6833333333333333,4.0,26.666600000000003,3,0.8888866666666667,3.0,,0,,,,0,,,,0,,,2.356058637246293,4.625,0.6593531468531468,95,2,4,5,7.506941666666667
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,23.0,3,0.7666666666666667,2.0,24.0,3,0.8,3.0,22.0,3,0.7333333333333333,5.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,,0,,,,0,,,1.0,3.333333333333333,0.7438852813852813,3,0,0,0,7.666666666666667
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,12.0,3,0.4,10.0,16.0,3,0.5333333333333333,9.0,14.0,3,0.4666666666666667,8.0,8.0,3,0.2666666666666666,7.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,,0,,,,0,,,3.415650255319866,8.5,0.7318181818181818,61,3,3,3,4.166666666666667
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,24.0,3,0.8,1.0,27.0,3,0.9,2.0,27.0,3,0.9,1.0,28.0,3,0.9333333333333332,1.0,27.0,3,0.9,2.0,30.0,3,1.0,1.0,27.5,3,0.9166666666666666,1.0,28.9998,3,0.96666,1.0,,0,,,,0,,,,0,,,1.7614168418390592,1.25,0.45102797202797207,61,0,0,0,9.145825
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,13.0,3,0.4333333333333333,9.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,,0,,,,0,,,,9.0,1.0,2,0,0,0,4.333333333333333
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,17.0,3,0.5666666666666667,8.0,21.0,3,0.7,7.0,22.0,3,0.7333333333333333,4.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,2.6457513110645907,6.333333333333333,0.7318181818181818,128,0,0,0,6.666666666666667
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.0,3,0.7333333333333333,3.0,24.0,3,0.8,3.0,27.0,3,0.9,1.0,24.0,3,0.8,4.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,2.0615528128088303,2.75,0.8136363636363637,128,0,0,0,8.083333333333334
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,3,0.6333333333333333,6.0,26.0,3,0.8666666666666667,2.0,27.0,3,0.9,1.0,24.0,3,0.8,4.0,27.0,3,0.9,1.0,23.0,3,0.7666666666666667,4.0,27.0,3,0.9,4.0,26.5,3,0.8833333333333333,4.0,0.0,3,0.0,,0.0,3,0.0,,,0,,,2.8339460121886586,3.25,0.6030753337571519,128,0,2,2,8.3125
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,0.0,0.0,0.0,,,,,,21.0,3,0.7,5.0,29.0,3,0.9666666666666668,1.0,22.0,3,0.7333333333333333,4.0,27.0,3,0.9,3.0,25.0,3,0.8333333333333334,5.0,24.0,3,0.8,3.0,28.5,3,0.95,1.0,27.0,3,0.9,2.0,29.5,3,0.9833333333333332,1.0,0.0,3,0.0,,,0,,,3.069790076065644,2.7777777777777777,0.6446810764992583,128,0,1,3,8.62962962962963
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,26.0,3,0.8666666666666667,1.0,21.0,3,0.7,7.0,22.0,3,0.7333333333333333,4.0,29.0,3,0.9666666666666668,1.0,27.0,3,0.9,1.0,28.0,3,0.9333333333333332,1.0,28.0,3,0.9333333333333332,3.0,28.5,3,0.95,1.0,29.5,3,0.9833333333333332,1.0,29.666600000000003,3,0.9888866666666668,1.0,,0,,,3.044721479763516,2.1,0.542289886039886,128,1,1,2,8.955553333333334
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,24.0,3,0.8,2.0,24.0,3,0.8,3.0,19.0,3,0.6333333333333333,9.0,24.0,3,0.8,4.0,27.0,3,0.9,1.0,25.0,3,0.8333333333333334,2.0,28.5,3,0.95,1.0,27.0,3,0.9,2.0,29.5,3,0.9833333333333332,1.0,29.666600000000003,3,0.9888866666666668,1.0,,0,,,3.255755246124417,2.6,0.45102797202797207,95,2,2,3,8.588886666666667
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,3,0.6,7.0,22.0,3,0.7333333333333333,6.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,2.8284271247461903,6.5,0.9090909090909091,17,0,0,0,6.666666666666667
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,22.0,3,0.7333333333333333,3.0,23.0,3,0.7666666666666667,5.0,22.0,3,0.7333333333333333,4.0,28.0,3,0.9333333333333332,2.0,27.0,3,0.9,1.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,2.8809720581775866,3.0,0.48089263677498967,61,0,0,0,8.133333333333333
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,15.0,3,0.5,10.0,21.0,3,0.7,7.0,25.0,3,0.8333333333333334,3.0,20.0,3,0.6666666666666666,8.0,24.0,3,0.8,6.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,3.9370039370059056,6.8,0.6298229548229548,61,1,2,2,7.0
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,3,0.5333333333333333,9.0,19.0,3,0.6333333333333333,10.0,21.0,3,0.7,8.0,22.0,3,0.7333333333333333,7.0,24.0,3,0.8,6.0,18.0,3,0.6,5.0,23.0,3,0.7666666666666667,5.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,2.878491668515698,7.142857142857143,0.5161192973692973,67,3,5,6,6.809523809523809
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,12.0,3,0.4,11.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,,11.0,0.8636363636363636,67,0,0,0,4.0
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,17.0,3,0.5666666666666667,8.0,21.0,3,0.7,6.0,20.0,3,0.6666666666666666,9.0,16.0,3,0.5333333333333333,7.0,18.0,3,0.6,6.0,19.0,3,0.6333333333333333,7.0,22.5,3,0.75,5.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,2.280872848797353,6.857142857142857,0.6446810764992583,128,1,2,4,6.357142857142857
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,21.0,3,0.7,3.0,22.0,3,0.7333333333333333,5.0,24.0,3,0.8,1.0,24.0,3,0.8,3.0,24.0,3,0.8,4.0,24.0,3,0.8,4.0,27.0,3,0.9,3.0,23.5,3,0.7833333333333333,4.0,29.0,3,0.9666666666666668,4.0,0.0,3,0.0,,,0,,,2.412352471021688,3.4444444444444446,0.45102797202797207,128,0,1,1,8.092592592592593
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,16.0,3,0.5333333333333333,9.0,18.0,3,0.6,11.0,16.0,3,0.5333333333333333,10.0,15.0,3,0.5,9.0,13.0,3,0.4333333333333333,8.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,1.816590212458495,9.4,0.8636363636363636,95,3,3,4,5.2
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,23.0,3,0.7666666666666667,2.0,27.0,3,0.9,1.0,21.0,3,0.7,6.0,21.0,3,0.7,5.0,28.0,3,0.9333333333333332,2.0,28.0,3,0.9333333333333332,1.0,29.5,3,0.9833333333333332,1.0,26.5,3,0.8833333333333333,3.0,30.0,3,1.0,1.0,28.333200000000005,3,0.9444400000000002,3.0,,0,,,3.3565762982870244,2.5,0.48089263677498967,95,0,0,1,8.74444
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,21.0,3,0.7,3.0,26.0,3,0.8666666666666667,2.0,23.0,3,0.7666666666666667,5.0,26.0,3,0.8666666666666667,2.0,30.0,3,1.0,1.0,28.0,3,0.9333333333333332,1.0,27.0,3,0.9,3.0,29.0,3,0.9666666666666668,1.0,29.5,3,0.9833333333333332,3.0,29.3332,3,0.9777733333333334,1.0,,0,,,2.9731703994221386,2.2,0.33869463869463867,95,0,1,1,8.961106666666666
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,3,0.6333333333333333,5.0,20.0,3,0.6666666666666666,10.0,21.0,3,0.7,6.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,1.0,7.0,0.9090909090909091,1,0,1,1,6.666666666666667
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,19.0,3,0.6333333333333333,5.0,21.0,3,0.7,6.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,1.4142135623730951,5.5,0.6814102564102564,17,0,0,0,6.666666666666667
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18.0,3,0.6,7.0,24.0,3,0.8,3.0,24.0,3,0.8,1.0,23.0,3,0.7666666666666667,4.0,21.0,3,0.7,5.0,23.0,3,0.7666666666666667,5.0,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,0.0,3,0.0,,,0,,,2.316606713852541,4.166666666666667,0.7438852813852813,17,0,0,0,7.388888888888889
